,Jarosite,Goethite,Hematite,Kaolinite,Alunite,Illite,Smectite,Gypsum
1033.49,0.6109938608108108,0.14769784563027027,0.23522085414270272,0.9138692302854055,0.8439319076,0.8572157485189189,0.6447487480454054,0.8917910505318919
1043.59,0.6199484431103379,0.15215819494137647,0.24496780241000085,0.9132002752230445,0.8448551144768109,0.8570631625830705,0.6453841957858891,0.8947100381392812
1053.69,0.6278197537943947,0.15691654348542627,0.2542682563524245,0.9136178374797068,0.8457142287986202,0.8574342204005582,0.6459853773622714,0.8964780816818334
1063.79,0.6352801732771219,0.16211447266081117,0.2627871401383332,0.9142142554869885,0.8457992163749158,0.8574544788888779,0.6471683627646848,0.8970823589599755
1073.89,0.6419928581948708,0.1679214962487376,0.27099958279453423,0.91416134815051,0.8460059022299237,0.8583339966370928,0.6475611904396475,0.8980047749454401
1083.99,0.6479539294702235,0.174455070109322,0.27851408834472097,0.913893304396451,0.8458566320497891,0.858726611856891,0.6475650863848453,0.8970365349608856
1094.09,0.655892901034995,0.18166348952943973,0.2867242056306815,0.913729702254768,0.8470590930396293,0.8595149907034639,0.6484667324656883,0.896691698105876
1104.19,0.6613947503236389,0.18940585593231196,0.29490337641576997,0.9131468641306957,0.8466189727727327,0.8586188518866263,0.6495391839194704,0.8953956830655678
1114.19,0.6669555455555115,0.1977780873028479,0.30141731532835586,0.9125756145191508,0.8466650232756368,0.8570630925167346,0.6494481494429041,0.8938221540070107
1124.28,0.6728070221863983,0.20682214951816055,0.3097909222816572,0.9127945335887432,0.8475328863682814,0.8562534786220145,0.6511885815239434,0.8927871267067374
1134.38,0.6804268091041437,0.21648366867968633,0.31660561506357954,0.9128247494026303,0.848264385515568,0.8532831688290287,0.6512550086931548,0.890350148264142
1144.48,0.6860781923909921,0.2263885084382891,0.3234733304084017,0.9114506093952208,0.8480895211939117,0.8471087339456719,0.6494634242554392,0.8857987402381684
1154.58,0.6920685308555132,0.23785110512040544,0.3294448854784537,0.910251690931559,0.8481005879150825,0.8411790675792141,0.6479427693536122,0.876342444150824
1164.68,0.6986991575314389,0.2482512981948709,0.3342280122725023,0.9099076527359145,0.8484412005168829,0.8424654612278444,0.6501498649856422,0.8630685955094562
1174.77,0.7048226055857015,0.25856376975641143,0.33874901965937215,0.9100911290801069,0.8487956543538965,0.8436793584651946,0.6517516162679472,0.8519834931131797
1184.87,0.7128995707789043,0.2688641546118349,0.3429883850445597,0.910518069323682,0.8496961810862677,0.8450118686376599,0.6544101995443022,0.8474918786836061
1194.97,0.7199910047864576,0.27866022527701584,0.3461228042565874,0.9092739281114401,0.8488728039668472,0.8432311010740987,0.6551416491277096,0.8470237854901126
1205.07,0.7268410796026104,0.2880182861230492,0.34712261095539887,0.9078116503067812,0.847445377209756,0.8403004611714727,0.6542667379978017,0.8464336325906084
1215.17,0.7346632707439265,0.29672839655741473,0.3487828827170619,0.9037382860088214,0.8461273486187652,0.836248002617245,0.654489248976726,0.8503989151857816
1225.17,0.7420703432131186,0.30469371523498306,0.34861045524894535,0.899196961186204,0.8451133081875705,0.8316736182053948,0.6541792567313292,0.8541504557394094
1235.27,0.748180508915956,0.31178297276492073,0.34993916951684934,0.8893297311774259,0.8432367230125862,0.8249732632886724,0.6547657329922859,0.8567542399675192
1245.36,0.7561021825738985,0.3180652649725201,0.350823931714447,0.8890373117206857,0.8427519417919848,0.8238985273628234,0.6558067066908291,0.8623159649113217
1255.46,0.7634282438856542,0.32351819447738434,0.3508676154125079,0.8929815716359711,0.8415071991286439,0.8237689534864148,0.6567616785365177,0.8671519021631415
1265.56,0.7701941932576469,0.32860417254508,0.35100630115767373,0.8961649481632288,0.8381674045593988,0.8248810286895343,0.65717646379534,0.86914539571024
1275.66,0.7768645195736171,0.33270822367851954,0.350778752537108,0.8929327401526898,0.8337242799360325,0.824093777984731,0.6574232355706067,0.8704242034000733
1285.76,0.7858928360849674,0.3361819311782531,0.35030755219073084,0.880517159715389,0.8375622113731432,0.8217118748669043,0.6578707872002377,0.8700117694242425
1295.86,0.793738143560621,0.33906331973818665,0.35034438973085913,0.865026076726542,0.8426346630435299,0.8172481005495704,0.6571502228821247,0.869328143619836
1305.96,0.799812379806504,0.34150946501425966,0.3502267132385328,0.8509925034052919,0.84513129116058,0.8100636795553751,0.6560352567822625,0.8663114497009428
1316.05,0.8069545239184425,0.34356733182484356,0.34986357555335496,0.8438854400883309,0.844045714910877,0.8028401831698091,0.6559205023162085,0.8612922082567536
1326.05,0.8145580848972326,0.34537921458437937,0.3500624322569837,0.8347739226160447,0.8413101635314003,0.7952755537966454,0.6558447719567326,0.8541503414306432
1336.15,0.8234246609224142,0.34691970647799175,0.34938890339525674,0.8303519027628856,0.8376236310412438,0.7889934507324852,0.6545610979830668,0.8453684673518841
1346.25,0.8281286971554891,0.34827970267469377,0.3483748602024933,0.8195113567047559,0.8359425332088998,0.7811116302001169,0.6538886132871247,0.8350311817574834
1356.35,0.8316976752578729,0.349631915456328,0.3481574204616756,0.7866688276221034,0.8371921829093879,0.7723663215748665,0.6519776805650623,0.8252085513669044
1366.45,0.834905150937531,0.3508255774367684,0.3485096408196835,0.7781660644177936,0.8372904548906692,0.7495222579142977,0.6486280215436033,0.8175107484987818
1376.55,0.840133974252062,0.3518681219179927,0.34890800371993547,0.7431269286977057,0.8388040433880246,0.7101936034739729,0.6364210615971719,0.8076694941967106
1386.65,0.8432404543757674,0.35265778231928546,0.34828803890363214,0.6723720091836652,0.8382275352931041,0.6319990683665385,0.6109445290042381,0.8019984575278251
1396.74,0.8456029639115539,0.35307319002119064,0.34791228661623164,0.6303288171806554,0.8366118144450826,0.5428863680655133,0.5748989461825169,0.792576504889888
1406.84,0.8431849970366776,0.3531168605149127,0.34776852129817404,0.6390301109434783,0.8306495390321623,0.5012615333059378,0.5338482820933186,0.7731380448540424
1416.94,0.8357987719915829,0.35303137592662276,0.34750120852849437,0.6484189092810813,0.813323740969451,0.5302057429003315,0.5322939671283854,0.7423129565641434
1426.94,0.8201298751837475,0.3531736260834216,0.34866570299789074,0.7895272573170198,0.7671098439717375,0.5980145017108166,0.5714466370717262,0.7105240978248385
1437.04,0.8042908358601598,0.35359682741946985,0.3486016726421223,0.8389826943577888,0.7044629170117941,0.6398924819780766,0.6079574284282138,0.6729517846292091
1447.14,0.7814148125565665,0.3542615237016646,0.3494182914956381,0.8550186922787092,0.737481893344094,0.6588139607314804,0.6244097614682087,0.6397615191401865
1457.23,0.7528872301746754,0.3550445585378316,0.3495860568416727,0.8616412020869024,0.7752451123920908,0.6640014678561598,0.6282380205906701,0.660901571344926
1467.33,0.7518608013160241,0.3557232984077001,0.3491843893809043,0.8674262317836134,0.7653354096524272,0.668486397934169,0.6296588182930306,0.6793577083292731
1477.43,0.7540285120349741,0.3565221397162067,0.3488580313898544,0.8749358871961304,0.740783299531038,0.676287792225589,0.6378676353876165,0.6855697320857718
1487.53,0.749458732063195,0.35747130481636613,0.3484162149970789,0.8787204002921111,0.7111273690605908,0.6800498920721069,0.6430513894507321,0.6804686042182811
1497.63,0.7472612115357801,0.35823983058349346,0.34871011507952226,0.8827688307736339,0.6828552325914558,0.6796802920150924,0.6432793940555369,0.6892609467608787
1507.73,0.7470294272776694,0.3590047119440126,0.34902702599294955,0.8875750926415281,0.7601380667187855,0.67591725760791,0.6443395437408775,0.7086587788252944
1517.83,0.751261909721342,0.3598190992597837,0.35029274061286936,0.8889980488453616,0.7873242273529467,0.6688729285554149,0.6418605910350155,0.7153502276136814
1527.92,0.7546636977075577,0.36026319954299696,0.35125624848540365,0.8905675022637249,0.8016786671750973,0.6619707946332091,0.6388829499433573,0.7120360466939317
1537.92,0.7547718011734643,0.3605511322750185,0.34951096152651373,0.8934218891716841,0.8180262959053268,0.6548977497478647,0.6355203479481127,0.7088135200753106
